Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
1965,MarutiAltoK10,2017,2021,369799,4,4.5,19279,400000,First Owner,Petrol,Manual,1/1/2021,Rs.4 Lakh,4
1966,MarutiBalenoDELTA1.2,2017,2021,497699,4,4.3,108048,590000,First Owner,Petrol + CNG,Manual,28-03-2021,"Rs.5,90,000",590000
1967,Hyundaii20MAGNAO,2013,2021,295999,8,4.2,31541,679000,First Owner,Petrol,Manual,20-10-2020,Rs.6.79 Lakh,6.79
1968,Hyundaii20MAGNAO1.4,2011,2021,270999,10,4.1,114818,666000,Third Owner,Diesel,Manual,25-09-2021,Rs.6.66 Lakh,6.66
1969,HyundaiAccentEXECUTIVE,2010,2021,113799,11,4,82633,517000,Second Owner,Petrol,Manual,18-01-2022,Rs.5.17 Lakh,5.17
1970,HondaAmaze1.5EXMTI,2013,2021,238899,8,3.9,154964,770000,First Owner,Diesel,Manual,18-08-2021,Rs.7.70 Lakh,7.7
1971,MarutiAlto800,2018,2021,349499,3,4.3,42143,448000,First Owner,Petrol,Manual,13-12-2021,Rs.4.48 Lakh,4.48
1972,MarutiSwiftDzireVDIBS,2013,2021,500899,8,4.2,74080,561000,First Owner,Diesel,Manual,10/5/2021,Rs.5.61 Lakh,5.61
1973,MarutiCelerio,2018,2021,556099,3,4.9,13566,453000,First Owner,Petrol,Manual,4/7/2021,Rs.4.53 Lakh,4.53
1974,HyundaiVernaFLUIDIC1.6SX,2012,2021,381199,9,3.9,82252,1173000,First Owner,Diesel,Manual,22-11-2021,11.73 Lakh,11.73
1975,MarutiSwiftDzireVDIBS,2012,2021,334499,9,4.5,105445,561000,First Owner,Diesel,Manual,11/7/2021,Rs.5.61 Lakh,5.61
1976,DatsunGo,2014,2021,175030,7,4.3,75141,403000,Second Owner,Petrol,Manual,23-03-2021,Rs.4.03 Lakh,4.03
1977,MarutiBalenoZETA1.2K12,2017,2021,674399,4,4.7,49342,717000,Second Owner,Petrol,Automatic,20-07-2020,Rs.7.17 Lakh,7.17
1978,HondaCitySMT,2012,2021,486416,9,4.6,49305,1099000,First Owner,Petrol,Manual,30-12-2021,Rs.10.99 Lakh,10.99
1979,ToyotaFortuner3.0MT,2012,2021,1091499,9,4.4,128749,3139000,First Owner,Diesel,Manual,8/2/2021,Rs.31.39 Lakh,31.39
1980,ToyotaEtiosLiva,2012,2021,311199,9,4.5,68582,568000,First Owner,Diesel,Manual,27-11-2021,Rs.5.68 Lakh,5.68
1981,FordFigoAspire1.5TITANIUM,2016,2021,390500,5,4.5,95991,770000,First Owner,Diesel,Manual,3/10/2021,"7,70,000",770000
1982,MarutiWagonR1.0,2016,2021,376699,5,4.6,48347,498000,First Owner,Petrol,Manual,31-08-2021,Rs.4.98 Lakh,4.98
1983,MahindraXUV500W8,2014,2021,722699,7,4.3,60070,1550000,First Owner,Diesel,Manual,7/9/2021,Rs.15.50 Lakh,15.5
1984,MarutiWagonR1.0LXI,2015,2021,329599,6,4.3,157328,465000,First Owner,Petrol + CNG,Manual,8/3/2021,Rs.4.65 Lakh,4.65
1985,Hyundaii10MAGNA1.1,2013,2021,269299,8,4.3,72917,462100,First Owner,Petrol + CNG,Manual,29-09-2021,"Rs.4,62,100",462100
1986,MarutiSwiftDzireLDIBS,2012,2021,318999,9,4.1,67776,600000,Second Owner,Diesel,Manual,23-03-2021,0,0
