Sr. No.,Model,Year,Current year,Selling Price,Age of Vehicle,Car Condition,Kilometers Driven, Current Price ,Owner,Fuel Type,Transmission,Insurance,Current Price (Unformatted),Price Formatting
189,MarutiEeco5STRWITHAC,2015,2021,343299,6,4.5,29027,438000,First Owner,Petrol,Manual,27-04-2021,Rs.4.38 Lakh,4.38
190,MahindraKuv100K6D6,2016,2021,404786,5,4.3,38594,585000,First Owner,Diesel,Manual,5/5/2021,Rs.5.85 Lakh,5.85
191,HondaBrio1.2SMTI,2013,2021,301299,8,4.2,43702,523000,Third Owner,Petrol,Manual,26-12-2021,Rs.5.23 Lakh,5.23
192,MarutiSwift,2014,2021,376199,7,4.6,68628,549000,First Owner,Diesel,Manual,21-05-2021,Rs.5.49 Lakh,5.49
193,MarutiErtigaVDI,2018,2021,748899,3,4.3,69604,987000,First Owner,Diesel,Manual,Expired,9.87 Lakh,9.87
194,VolkswagenPoloHIGHLINE1.2L,2010,2021,320699,11,4.2,125435,709000,First Owner,Petrol,Manual,2/11/2021,Rs.7.09 Lakh,7.09
195,HondaCitySMT,2009,2021,257599,12,4.4,85362,1099000,Second Owner,Petrol,Manual,Expired,Rs.10.99 Lakh,10.99
196,MarutiAltoK10VXI(O),2018,2021,388899,3,4.9,39845,394036,First Owner,Petrol,Automatic,Third_party,"Rs.3,94,036",394036
197,HyundaiCreta1.6SX,2016,2021,1017499,5,4.5,67987,1350000,First Owner,Diesel,Manual,Zero_Dep,Rs.13.50 Lakh,13.5
198,MarutiSwiftDzireVXI1.2BS,2011,2021,282096,10,4.3,90479,657000,First Owner,Petrol,Manual,19-02-2021,Rs.6.57 Lakh,6.57
199,MarutiSwiftDzireLDIBS,2014,2021,340899,7,4.2,123363,600000,Second Owner,Diesel,Manual,27-08-2021,0,0
200,MarutiEeco5STRWITHAC,2014,2021,278999,7,3.8,50754,438000,First Owner,Petrol,Manual,28-10-2021,Rs.4.38 Lakh,4.38
201,MarutiWagonR1.0,2010,2021,235499,11,4.5,93112,498000,First Owner,Petrol,Manual,7/9/2021,Rs.4.98 Lakh,4.98
202,HyundaiEonERA,2012,2021,202699,9,4.2,50877,332000,First Owner,Petrol + CNG,Manual,22-01-2022,Rs.3.32 Lakh,3.32
203,MarutiCiazZETA1.5SHVSVVT,2018,2021,936799,3,4.9,11400,1127000,First Owner,Petrol,Manual,Zero_Dep,Rs.11.27 Lakh,11.27
204,Hyundaii20ASTA1.4,2012,2021,356499,9,4.3,68559,900000,First Owner,Diesel,Manual,19-02-2021,Rs.9 Lakh,9
205,MarutiAlto,2011,2021,156299,10,4.5,41402,375000,First Owner,Petrol,Manual,29-03-2021,Rs.3.75 Lakh,3.75
206,VolkswagenJettaCOMFORTLINE2.0L,2012,2021,382199,9,4.4,105572,1789000,Second Owner,Diesel,Manual,27-02-2021,Rs.17.89 Lakh,17.89
207,HyundaiGrandi10SPORTZ1.2KAPPA,2016,2021,480299,5,4.9,25338,591699,First Owner,Petrol,Manual,6/2/2021,"Rs.591,699","591,699"
208,HyundaiEonMAGNA,2014,2021,211499,7,4.5,28323,416000,First Owner,Petrol,Manual,5/11/2021,Rs.4.16 Lakh,4.16
209,MarutiSwift,2013,2021,377899,8,4.4,111379,549000,First Owner,Petrol,Manual,28-12-2021,Rs.5.49 Lakh,5.49
210,MarutiWagonR1.0LXI,2013,2021,181999,8,4.1,153709,465000,First Owner,Petrol + CNG,Manual,25-05-2021,Rs.4.65 Lakh,4.65
211,Hyundaii10SPORTZ1.2AT,2013,2021,408899,8,4.3,22768,637000,First Owner,Petrol,Automatic,28-06-2021,Rs.6.37 Lakh,6.37
212,VolkswagenPoloCOMFORTLINE1.5L,2015,2021,424499,6,4,133921,1028000,First Owner,Diesel,Manual,18-01-2022,Rs.10.28 Lakh,10.28
213,SkodaRapid1.5TDIMT,2017,2021,752999,4,4.9,40267,779000,First Owner,Diesel,Manual,16-10-2021,"Rs.7,79,000",779000
214,RenaultDusterRXLAMT110,2016,2021,495299,5,4.2,85369,956000,First Owner,Diesel,Automatic,10/2/2021,Rs.9.56 Lakh,9.56
215,MahindraScorpio,2017,2021,1192799,4,4.6,23836,1198000,First Owner,Diesel,Manual,16-04-2021,Rs.11.98 Lakh,11.98
216,MarutiWagonR1.0,2013,2021,346677,8,4.5,30361,498000,First Owner,Petrol,Manual,5/3/2021,Rs.4.98 Lakh,4.98
217,MarutiDzire,2017,2021,583799,4,4.8,12400,750000,First Owner,Petrol,Manual,20-09-2020,Rs.7.50 Lakh,7.5
218,TataHexaVaricor400,2018,2021,1380699,3,5,27929,1794860,First Owner,Diesel,Automatic,31-07-2021,"Rs.17,94,860",1794860
219,MarutiRitz,2012,2021,224999,9,4.3,80575,545000,Second Owner,Diesel,Manual,1/6/2021,Rs.5.45 Lakh,5.45
220,MarutiSCrossZETA,2017,2021,681399,4,4.6,42045,995000,First Owner,Diesel,Manual,Expired,Rs.9.95 Lakh,9.95
221,MarutiRitz,2012,2021,212299,9,4.1,72428,545000,First Owner,Diesel,Manual,20-06-2021,Rs.5.45 Lakh,5.45
222,HyundaiSantroXing,2010,2021,145999,11,4.1,98143,400374,First Owner,Petrol,Manual,11/4/2021,"Rs.4,00,374",400374
223,MarutiSwiftDzireVDIBS,2012,2021,353768,9,4.3,98618,561000,First Owner,Diesel,Manual,12/2/2021,Rs.5.61 Lakh,5.61
224,MarutiRitz,2013,2021,216799,8,4.2,97984,545000,First Owner,Diesel,Manual,9/4/2021,Rs.5.45 Lakh,5.45
225,HyundaiVernaFLUIDIC1.6SXVTVT,2013,2021,430799,8,4.4,51641,1200000,First Owner,Petrol,Manual,8/10/2021,Rs.12 Lakh,12
226,MarutiSwiftVXI,2018,2021,504737,3,4.5,94628,619000,First Owner,Petrol + CNG,Automatic,21-02-2021,Rs.6.19 Lakh,6.19
227,MarutiEeco5STRCNGWITHAC,2015,2021,316653,6,4.7,45174,518000,First Owner,Petrol + CNG,Manual,31-12-2020,Rs.5.18 Lakh,5.18
228,ToyotaCorollaAltisVL,2011,2021,462199,10,4.3,86288,1750000,Second Owner,Petrol,Automatic,10/6/2021,Rs.17.50 Lakh,17.5
229,Hyundaii10MAGNA1.2,2011,2021,343199,10,4.4,11234,461681,First Owner,Petrol,Manual,4/1/2021,"Rs.4,61,681",461681
230,MahindraTUV300,2015,2021,635099,6,4.6,36705,1080000,First Owner,Diesel,Manual,4/11/2021,Rs.10.80 Lakh,10.8
231,HondaCityVXMT,2015,2021,726106,6,4.6,28410,1235000,Second Owner,Petrol,Manual,28-12-2021,Rs.12.35 Lakh,12.35
232,MarutiVitaraBrezzaZDI,2019,2021,932099,2,5,20273,892242,First Owner,Diesel,Manual,4/2/2021,"Rs.8,92,242",892242
233,MarutiWagonR,2008,2021,202999,13,4.1,54572,545000,First Owner,Petrol,Manual,22-10-2021,Rs.5.45 Lakh,5.45
234,VolkswagenVentoHIGHLINE,2013,2021,341799,8,4.9,87834,1209000,First Owner,Diesel,Manual,11/4/2021,12.09 Lakh,12.09
235,MarutiAlto800,2015,2021,223399,6,4.7,33341,448000,First Owner,Petrol,Manual,30-12-2020,Rs.4.48 Lakh,4.48
236,HyundaiSantroXingGL,2011,2021,193780,10,4.3,136543,369000,First Owner,Petrol + CNG,Manual,8/11/2020,Rs.3.69 Lakh,3.69
237,FordFigo1.2ZXI,2010,2021,231199,11,3.7,102644,685000,Second Owner,Petrol,Manual,24-11-2021,Rs.6.85 Lakh,6.85
238,MarutiNewWagon-RVXI,2019,2021,473490,2,4.9,44040,533000,First Owner,Petrol,Manual,Zero_Dep,Rs.5.33 Lakh,5.33
239,MarutiWagonR1.0LXI,2012,2021,239499,9,4.4,88691,465000,Second Owner,Petrol + CNG,Manual,15-10-2021,Rs.4.65 Lakh,4.65
240,MahindraTharCRDE4X4BS,2019,2021,950499,2,4.8,7961,1315000,First Owner,Diesel,Manual,26-05-2021,Rs.13.15 Lakh,13.15
241,MarutiSwiftDzireVDIBS,2012,2021,326199,9,4.4,57730,561000,First Owner,Diesel,Manual,29-11-2021,Rs.5.61 Lakh,5.61
242,MarutiSwiftDzire,2012,2021,384599,9,4.2,72105,561000,First Owner,Diesel,Manual,17-03-2021,Rs.5.61 Lakh,5.61
243,VolkswagenPoloHIGHLINE1.2L,2011,2021,317799,10,4.2,50372,709000,Second Owner,Petrol,Manual,9/7/2021,Rs.7.09 Lakh,7.09
244,HondaCityVXMTO,2016,2021,706899,5,4.6,93031,1285000,First Owner,Diesel,Manual,30-03-2021,Rs.12.85 Lakh,12.85
245,Hyundaii20ASTA,2012,2021,283400,9,4.3,46121,869000,Third Owner,Petrol,Manual,15-09-2021,Rs.8.69 Lakh,8.69
246,HyundaiEonERA,2012,2021,193582,9,3.7,57951,332000,Third Owner,Petrol,Manual,7/1/2022,Rs.3.32 Lakh,3.32
247,MarutiAltoK10VXI,2015,2021,310199,6,4.3,26025,394000,Second Owner,Petrol,Automatic,Comp,Rs.3.94 Lakh,3.94
248,HondaBrio1.2SMTI,2013,2021,306599,8,4.1,64537,523000,First Owner,Petrol,Manual,17-09-2021,Rs.5.23 Lakh,5.23
249,MarutiIGNISDELTA1.2K12,2017,2021,502199,4,4.8,17424,629000,First Owner,Petrol,Automatic,31-12-2020,Rs.6.29 Lakh,6.29
250,VolkswagenVentoHIGHLINE,2010,2021,244349,11,4.1,87793,1209000,First Owner,Petrol,Manual,Expired,12.09 Lakh,12.09
251,MarutiErtiga,2012,2021,380599,9,4.1,81227,769000,Second Owner,Diesel,Manual,Expired,Rs.7.69 Lakh,7.69
252,MarutiAlto800,2017,2021,332799,4,4.9,3201,448000,First Owner,Petrol,Manual,15-11-2021,Rs.4.48 Lakh,4.48
253,HyundaiSantroXing,2009,2021,210099,12,4,82748,400374,Second Owner,Petrol + LPG,Manual,Expired,"Rs.4,00,374",400374
254,HyundaiSantroXingGL,2012,2021,177499,9,3.8,60908,369000,First Owner,Petrol,Manual,18-08-2021,Rs.3.69 Lakh,3.69
255,VolkswagenPoloCOMFORTLINE1.2L,2013,2021,256399,8,4,63748,617000,First Owner,Petrol,Manual,28-06-2021,0,0
256,AudiQ335TDI,2015,2021,1608699,6,4.4,87155,3992200,First Owner,Diesel,Automatic,26-04-2021,"Rs.39,92,200",3992200
257,AudiQ335TDI,2015,2021,1697199,6,4.8,30500,3992200,First Owner,Diesel,Automatic,16-03-2021,"Rs.39,92,200",3992200
258,MarutiEeco5STRCNGWITHAC,2017,2021,399799,4,4.4,72425,518000,First Owner,Petrol + CNG,Manual,Expired,Rs.5.18 Lakh,5.18
259,HyundaiVernaFLUIDIC1.6EXCRDI,2013,2021,377499,8,4.3,119439,999000,Second Owner,Diesel,Automatic,27-03-2021,Rs.9.99 Lakh,9.99
260,MarutiVitaraBrezza,2016,2021,598699,5,4.5,60027,940000,First Owner,Diesel,Manual,Expired,Rs.9.40 Lakh,9.4
261,FordEcosport1.5TITANIUMTIVCT,2014,2021,544299,7,4.5,71487,764000,Second Owner,Petrol,Automatic,Expired,Rs.7.64 Lakh,7.64
262,MarutiZenEstilo,2011,2021,214499,10,4.4,31830,395000,Second Owner,Petrol,Manual,3/1/2021,Rs.3.95 Lakh,3.95
263,DatsunGo,2014,2021,189299,7,3.5,27123,403000,First Owner,Petrol,Manual,Expired,Rs.4.03 Lakh,4.03
264,MarutiSwift,2012,2021,301899,9,4.5,112723,549000,First Owner,Diesel,Manual,Expired,Rs.5.49 Lakh,5.49
265,HondaAmaze1.2EMTI,2015,2021,371299,6,4.3,45940,624000,First Owner,Petrol,Manual,8/11/2021,Rs.6.24 Lakh,6.24
266,MarutiCelerioZXI,2017,2021,396899,4,4.6,25538,558000,First Owner,Petrol,Automatic,Expired,Rs.5.58 Lakh,5.58
267,BMW3Series320D,2012,2021,954099,9,4.5,104921,4829000,Third Owner,Diesel,Automatic,18-12-2020,48.29 Lakh,48.29
268,Hyundaii10MAGNA1.1,2014,2021,306799,7,4.3,31584,462100,First Owner,Petrol,Manual,6/12/2021,"Rs.4,62,100",462100
269,MarutiWagonR1.0LXI,2015,2021,324899,6,4.2,26141,465000,First Owner,Petrol + CNG,Manual,2/2/2021,Rs.4.65 Lakh,4.65
270,HyundaiCreta1.6SXPLUS,2017,2021,931399,4,4.9,41831,1350245,First Owner,Petrol,Manual,Zero_Dep,"13,50,245",1350245
271,MarutiAltoK10,2017,2021,322599,4,4.8,19792,400000,Second Owner,Petrol,Manual,22-09-2021,Rs.4 Lakh,4
272,FordEcosport1.5TITANIUMTIVCT,2015,2021,556199,6,4.3,46594,764000,First Owner,Petrol,Automatic,12/5/2021,Rs.7.64 Lakh,7.64
273,FordEcosport,2018,2021,733290,3,4.9,20861,800000,Second Owner,Petrol,Manual,Third_party,Rs.8 Lakh,8
274,MarutiSwiftDzireVXI1.2BS,2015,2021,484799,6,4.6,39550,657000,First Owner,Petrol,Manual,31-10-2021,Rs.6.57 Lakh,6.57
275,HondaCityZX1.5,2007,2021,125199,14,4.3,188651,1475000,First Owner,Petrol,Manual,8/8/2021,Rs.14.75 Lakh,14.75
276,VolkswagenPoloHIGHLINE1.2L,2016,2021,466699,5,4.4,45500,709000,First Owner,Petrol,Manual,5/4/2021,Rs.7.09 Lakh,7.09
277,MarutiWagonR1.0LXI,2018,2021,479914,3,4.5,28560,465000,First Owner,Petrol + CNG,Manual,28-07-2021,Rs.4.65 Lakh,4.65
278,Hyundaii10MAGNA,2009,2021,149199,12,4.1,72565,462100,Second Owner,Petrol,Manual,18-05-2021,"Rs.4,62,100",462100
279,MarutiCelerioVXI,2019,2021,504699,2,4.7,24060,492000,First Owner,Petrol + CNG,Manual,22-01-2022,Rs.4.92 Lakh,4.92
280,Hyundaii20MAGNAO1.4,2014,2021,358999,7,4.6,56549,666000,First Owner,Diesel,Manual,10/8/2021,Rs.6.66 Lakh,6.66
281,Hyundaii20SPORTZ1.2,2014,2021,510299,7,4.6,21100,859000,First Owner,Petrol,Manual,1/8/2021,Rs.8.59 Lakh,8.59
282,Hyundaii20MAGNAO,2012,2021,325999,9,4.1,48219,679000,First Owner,Petrol,Manual,21-11-2021,Rs.6.79 Lakh,6.79
283,Hyundaii10SPORTZ1.2,2013,2021,239599,8,4.2,107693,599000,First Owner,Petrol,Manual,29-08-2021,Rs.5.99 Lakh,5.99
284,MarutiVitaraBrezzaZDIPLUSDUAL,2016,2021,783199,5,4.9,35989,1198000,First Owner,Diesel,Manual,5/7/2021,Rs.11.98 Lakh,11.98
285,MarutiRitz,2012,2021,232999,9,4.3,68342,545000,First Owner,Diesel,Manual,Expired,Rs.5.45 Lakh,5.45
286,MarutiRitz,2010,2021,279799,11,3.9,104928,545000,Second Owner,Diesel,Manual,21-01-2021,Rs.5.45 Lakh,5.45
287,SkodaSuperbELEGANCE1.8TSI,2012,2021,433399,9,4.2,84474,2233000,Third Owner,Petrol,Automatic,14-03-2021,0,0
288,MarutiSwiftLXI,2016,2021,470799,5,4.4,61191,549000,Second Owner,Petrol,Manual,20-11-2021,Rs.5.49 Lakh,5.49
289,HyundaiSantroXingXLERLXEURO,2007,2021,104289,14,4.1,124360,450000,Second Owner,Petrol,Manual,2/10/2021,"Rs.4,50,000",450000
290,HyundaiGrandi10ASTA1.1(O),2014,2021,391199,7,4.4,64460,500000,First Owner,Diesel,Manual,15-04-2021,Rs.5.00 Lakh,5
291,HyundaiGrandi10MAGNA1.2,2015,2021,372099,6,4.4,49341,606000,First Owner,Petrol,Manual,19-04-2021,6.06 Lakh,6.06
292,HondaCityVMT,2015,2021,657599,6,4.3,65099,1110000,Second Owner,Petrol,Manual,24-01-2022,Rs.11.10 Lakh,11.1
293,Hyundaii10MAGNA1.1,2012,2021,279599,9,3.8,87828,462100,First Owner,Petrol + LPG,Manual,29-09-2021,"Rs.4,62,100",462100
294,HyundaiElitei20SPORTZ,2017,2021,637199,4,4.7,46056,722000,First Owner,Diesel,Manual,20-09-2021,Rs.7.22 Lakh,7.22
295,AudiA62.0,2013,2021,1319868,8,4.4,176188,5875000,First Owner,Diesel,Automatic,20-04-2021,Rs.58.75 Lakh,58.75
296,Hyundaii10MAGNA1.2,2011,2021,296899,10,4,63546,461681,First Owner,Petrol,Manual,28-07-2021,"Rs.4,61,681",461681
297,Hyundaii10MAGNA1.1,2015,2021,330699,6,4.5,26939,462100,First Owner,Petrol,Manual,10/6/2021,"Rs.4,62,100",462100
298,HyundaiCreta1.6E+,2017,2021,801499,4,4.6,26151,928547,First Owner,Petrol,Manual,31-05-2021,"9,28,547",928547
299,RenaultDuster85PS,2015,2021,484699,6,4.5,67407,1046000,First Owner,Diesel,Manual,Comp,Rs.10.46 Lakh,10.46
300,MarutiOMNIE8,2014,2021,172399,7,4.2,40141,307000,First Owner,Petrol,Manual,Comp,Rs.3.07 Lakh,3.07
301,MarutiSwift,2018,2021,556363,3,4.9,11784,549000,First Owner,Petrol,Manual,Expired,Rs.5.49 Lakh,5.49
302,MarutiWagonR1.0LXI,2013,2021,301599,8,3.9,121435,465000,First Owner,Petrol + CNG,Manual,22-11-2022,Rs.4.65 Lakh,4.65
303,Hyundaii20MAGNA1.2,2009,2021,275099,12,3.9,82682,900000,Second Owner,Petrol,Manual,19-03-2021,Rs.9 Lakh,9
304,HyundaiEonDLITE,2013,2021,237899,8,4.4,27748,334900,First Owner,Petrol,Manual,2/1/2022,"Rs.3,34,900",334900
305,MarutiWagonR1.0,2010,2021,248899,11,4.3,70903,498000,Second Owner,Petrol + CNG,Manual,18-05-2021,Rs.4.98 Lakh,4.98
306,MarutiSwiftDzireVXI1.2BS,2015,2021,538199,6,4.3,78713,657000,First Owner,Petrol,Manual,19-04-2021,Rs.6.57 Lakh,6.57
307,MarutiSwiftDzireVXI1.2BS,2013,2021,495899,8,4.4,56518,657000,Second Owner,Petrol,Manual,20-02-2021,Rs.6.57 Lakh,6.57
308,Hyundaii20MAGNA1.2,2009,2021,168099,12,4.5,119575,900000,Third Owner,Petrol,Manual,17-10-2021,Rs.9 Lakh,9
309,MarutiCelerio,2019,2021,479500,2,4.8,10412,453000,First Owner,Petrol,Manual,8/5/2021,Rs.4.53 Lakh,4.53
310,HondaAmaze1.2EXMTI,2014,2021,330799,7,4.3,71800,624000,First Owner,Petrol,Manual,11/2/2021,Rs.6.24 Lakh,6.24
311,HyundaiSantroXingGL,2011,2021,263299,10,4.3,49419,369000,Second Owner,Petrol,Manual,27-01-2021,Rs.3.69 Lakh,3.69
312,FordFigo1.4EXI,2013,2021,177499,8,4.1,109104,683000,First Owner,Diesel,Manual,30-12-2021,6.83 Lakh,6.83
313,HyundaiEonERA,2018,2021,338999,3,4.1,3308,332000,First Owner,Petrol,Manual,Expired,Rs.3.32 Lakh,3.32
314,MarutiWagonR1.0LXI,2015,2021,322321,6,4.5,43781,465000,First Owner,Petrol + CNG,Manual,20-07-2021,Rs.4.65 Lakh,4.65
315,MarutiRitzVXIBS,2013,2021,420299,8,4.2,34146,513902,First Owner,Petrol,Manual,11/7/2021,"Rs.5,13,902",513902
316,MarutiCiazZXI,2015,2021,473899,6,4.2,107589,877000,First Owner,Petrol,Manual,11/2/2021,Rs.8.77 Lakh,8.77
317,HyundaiElitei20ASTA1.4,2015,2021,561299,6,4.3,79445,924000,First Owner,Diesel,Manual,24-03-2021,Rs.9.24 Lakh,9.24
318,HyundaiElitei20SPORTZ,2017,2021,728166,4,4.5,32307,722000,First Owner,Diesel,Manual,11/6/2021,Rs.7.22 Lakh,7.22
319,ChevroletBeatPS,2012,2021,144097,9,4.1,98452,432498,Second Owner,Diesel,Manual,28-12-2020,"Rs.4,32,498",432498
320,MarutiAltoK10,2012,2021,255299,9,4.5,38617,400000,First Owner,Petrol,Manual,23-08-2021,Rs.4 Lakh,4
321,HondaCitySMT,2009,2021,259899,12,4.6,99003,1099000,Second Owner,Petrol,Manual,28-02-2021,Rs.10.99 Lakh,10.99
322,MarutiSwiftVDI,2015,2021,390399,6,4.3,92527,698000,First Owner,Diesel,Manual,6/9/2021,Rs.6.98 Lakh,6.98
323,HyundaiElitei20MAGNA1.4,2014,2021,514299,7,4.1,169453,768000,First Owner,Diesel,Manual,30-11-2021,Rs.7.68 Lakh,7.68
324,MarutiAlto,2010,2021,174699,11,4,34854,375000,First Owner,Petrol,Manual,Insurance Expired,Rs.3.75 Lakh,3.75
325,HondaBrio1.2VXMTI,2013,2021,266099,8,4.1,65667,575000,Second Owner,Petrol,Manual,22-11-2021,Rs.5.75 Lakh,5.75
326,ToyotaInnova2.5VX8STRBS,2014,2021,926599,7,4.2,143740,1608893,Second Owner,Diesel,Manual,23-12-2020,"Rs.16,08,893",1608893
327,MarutiCiazDELTA1.5SHVS,2018,2021,737299,3,4.6,23999,1021000,First Owner,Petrol,Manual,Third_party,Rs.10.21 Lakh,10.21
328,Hyundaii10MAGNA,2009,2021,180599,12,4.3,89576,462100,Second Owner,Petrol,Manual,9/10/2021,"Rs.4,62,100",462100
329,ToyotaCorollaAltisD4D,2011,2021,464899,10,4.2,137352,3375000,First Owner,Diesel,Manual,31-03-2021,Rs.33.75 Lakh,33.75
330,MarutiErtiga,2015,2021,530899,6,4.6,98137,769000,First Owner,Petrol + CNG,Manual,18-06-2021,Rs.7.69 Lakh,7.69
331,HyundaiGrandi10Sportz1.2,2017,2021,486299,4,4.5,41100,625000,First Owner,Diesel,Manual,29-11-2021,Rs.6.25 Lakh,6.25
332,MarutiWagonR1.0LXI,2014,2021,346799,7,4.3,56607,465000,First Owner,Petrol + CNG,Manual,Comp,Rs.4.65 Lakh,4.65
333,MarutiSX4ZXIMTLEATHERBS,2008,2021,131199,13,4.3,150248,835000,Third Owner,Petrol,Manual,1/1/2021,Rs.8.35 Lakh,8.35
334,HyundaiEonERA,2014,2021,204799,7,3.9,83546,332000,Second Owner,Petrol,Manual,9/2/2021,Rs.3.32 Lakh,3.32
335,ToyotaEtiosLiva,2011,2021,274499,10,4.7,21763,568000,First Owner,Petrol,Manual,17-11-2021,Rs.5.68 Lakh,5.68
336,MarutiSwiftDzireLDIBS,2013,2021,305199,8,4.3,122165,600000,First Owner,Diesel,Manual,25-05-2021,0,0
337,MarutiSwiftDzireVDIBS,2012,2021,352499,9,4.2,46299,561000,First Owner,Diesel,Manual,18-11-2021,Rs.5.61 Lakh,5.61
338,MarutiWagonR1.0,2013,2021,318079,8,4.5,18325,498000,First Owner,Petrol,Manual,24-10-2021,Rs.4.98 Lakh,4.98
339,SkodaRapid1.6TDIMT,2012,2021,427799,9,4.3,63473,1000000,Second Owner,Diesel,Manual,29-11-2021,Rs.10 Lakh,10
340,Hyundaii10,2007,2021,228099,14,3.8,79620,515000,Third Owner,Petrol,Manual,23-05-2021,Rs.5.15 Lakh,5.15
341,ToyotaFortuner3.0MT,2012,2021,1045599,9,4.4,96301,3139000,Second Owner,Diesel,Manual,13-04-2021,Rs.31.39 Lakh,31.39
342,VolkswagenPoloTRENDLINE1.2L,2012,2021,256099,9,4.1,42069,552000,First Owner,Petrol,Manual,29-07-2021,Rs.5.52 Lakh,5.52
343,MarutiCelerioVXI,2016,2021,362199,5,4.2,123057,492000,Second Owner,Petrol + CNG,Manual,Expired,Rs.4.92 Lakh,4.92
344,HyundaiGrandi10MAGNA1.2KAPPA,2016,2021,413899,5,4.9,34558,500000,First Owner,Petrol,Manual,30-03-2021,Rs.5 Lakh,5
345,MarutiOMNIE8,2015,2021,168699,6,3.9,147413,307000,First Owner,Petrol + LPG,Manual,Third_party,Rs.3.07 Lakh,3.07
346,MarutiWagonR1.0,2012,2021,267599,9,4,32808,498000,First Owner,Petrol,Manual,31-07-2021,Rs.4.98 Lakh,4.98
347,BMW5Series,2008,2021,551681,13,4.2,94020,5599000,First Owner,Petrol,Automatic,22-03-2021,Rs.55.99 Lakh,55.99
348,MarutiSwiftDzireVDIBS,2012,2021,316838,9,4.4,75435,561000,First Owner,Diesel,Manual,18-05-2021,Rs.5.61 Lakh,5.61
349,HondaCityVMT,2013,2021,478699,8,4.3,40028,1110000,Second Owner,Petrol,Manual,Expired,Rs.11.10 Lakh,11.1
350,MarutiSX4,2008,2021,187199,13,4.3,9961,825000,First Owner,Petrol,Manual,24-06-2021,Rs.8.25 Lakh,8.25
351,FordEcosport1.5TITANIUMTDCI,2014,2021,440099,7,4.1,151247,999900,First Owner,Diesel,Manual,15-07-2021,"Rs.9,99,900",999900
352,MarutiBalenoDELTADDIS,2016,2021,571599,5,4.5,63898,746000,First Owner,Diesel,Manual,30-06-2021,Rs.7.46 Lakh,7.46
353,HondaCityVMT,2012,2021,369099,9,4.4,74017,1110000,Third Owner,Petrol,Manual,31-03-2021,Rs.11.10 Lakh,11.1
354,MarutiBalenoALPHA1.2,2015,2021,524399,6,4.6,76914,910000,First Owner,Petrol,Manual,30-10-2021,Rs.9.1 Lakh,9.1
355,MarutiCelerioVXI,2019,2021,535599,2,4.7,9878,492000,First Owner,Petrol + CNG,Manual,20-06-2022,Rs.4.92 Lakh,4.92
356,Hyundaii20MAGNA1.2,2009,2021,218799,12,4.2,86164,900000,Second Owner,Petrol,Manual,7/2/2021,Rs.9 Lakh,9
357,MarutiRitz,2015,2021,344399,6,4.6,64475,545000,First Owner,Diesel,Manual,1/1/2021,Rs.5.45 Lakh,5.45
358,MarutiAltoK10,2018,2021,322699,3,4.9,8604,400000,First Owner,Petrol,Manual,20-02-2021,Rs.4 Lakh,4
359,MarutiRitz,2013,2021,271299,8,4.4,54237,545000,First Owner,Diesel,Manual,12/9/2021,Rs.5.45 Lakh,5.45
360,FordFigo1.4EXI,2014,2021,176499,7,4.3,108709,683000,First Owner,Diesel,Manual,Expired,6.83 Lakh,6.83
361,MarutiSwiftVDI,2015,2021,373299,6,4.8,154513,698000,Second Owner,Diesel,Manual,6/5/2021,Rs.6.98 Lakh,6.98
362,HyundaiGrandi10MAGNA1.2KAPPA,2015,2021,383399,6,4.4,35915,500000,First Owner,Petrol,Manual,20-10-2021,Rs.5 Lakh,5
363,ToyotaCorollaAltis1.8,2009,2021,227099,12,4.2,91612,1704000,Third Owner,Petrol + CNG,Manual,Third_party,Rs.17.04 Lakh,17.04
364,TataTIAGOJTP,2019,2021,603340,2,4.8,14039,669000,First Owner,Petrol,Manual,Zero_Dep,Rs.6.69 Lakh,6.69
365,Hyundaii20MAGNA1.2,2010,2021,171699,11,4.2,222973,900000,First Owner,Petrol,Manual,7/10/2021,Rs.9 Lakh,9
366,MarutiSwiftVXI,2009,2021,213413,12,4.2,79169,619000,First Owner,Petrol,Manual,21-10-2021,Rs.6.19 Lakh,6.19
367,MarutiSwiftDzireLXI1.2BS,2011,2021,327699,10,4,59387,569000,First Owner,Petrol,Manual,21-03-2021,Rs.5.69 Lakh,5.69
368,Hyundaii20SPORTZ1.2,2010,2021,253199,11,4.2,74934,859000,First Owner,Petrol,Manual,23-12-2021,Rs.8.59 Lakh,8.59
369,HyundaiVernaFLUIDIC1.6SX,2014,2021,498099,7,4.3,120745,1173000,First Owner,Diesel,Manual,Expired,11.73 Lakh,11.73
370,MarutiWagonR1.0,2011,2021,199599,10,4,65611,498000,Second Owner,Petrol,Manual,Expired,Rs.4.98 Lakh,4.98
371,HondaCityVMT,2013,2021,423299,8,4.3,136859,1110000,First Owner,Petrol,Manual,6/2/2021,Rs.11.10 Lakh,11.1
372,MarutiBalenoALPHADDIS,2016,2021,630780,5,4.5,69278,590000,First Owner,Diesel,Manual,25-03-2021,"Rs.5,90,000",590000
373,MarutiWagonR1.0,2015,2021,320699,6,4,70993,498000,First Owner,Petrol,Manual,Expired,Rs.4.98 Lakh,4.98
374,FordFigo1.2TITANIUM,2010,2021,141599,11,4.2,49821,819000,Third Owner,Petrol,Manual,Expired,Rs.8.19 Lakh,8.19
